SalesID,CustID,VehicleID,Bank Name,LoanID,LoanAmount,EMIAmount,LoanTerm,InterestRate,LoanStartDate,LoanEndDate
SO220102,11020,937,Canara Bank,LDB1002,38150,2681.080451,15,10,01-01-2022,01-04-2023
SO220103,13570,948,Andhra Bank,LDB1003,101150,5308.059568,20,9.3,01-01-2022,01-09-2023
SO220107,11475,973,Canara Bank,LDB1007,56700,4976.923077,12,9.7,01-01-2022,01-01-2023
SO220109,17988,881,Andhra Bank,LDB1009,111961.5,7806.933405,15,8.5,01-01-2022,01-04-2023
SO220112,14017,962,Canara Bank,LDB1012,89250,6200.515158,15,7.8,01-01-2022,01-04-2023
SO220113,12234,855,HDFC,LDB1013,124600,8756.556334,15,10,01-01-2022,01-04-2023
SO220114,16218,983,ICICI,LDB1014,47929,2524.25038,20,10,01-01-2022,01-09-2023
SO220116,12865,972,HDFC,LDB1016,54250,2824.945868,20,7.8,01-01-2022,01-09-2023
SO220117,15068,960,HDFC,LDB1017,76650,4022.370399,20,9.3,01-01-2022,01-09-2023
SO220122,14613,982,ICICI,LDB1022,44338,2585.890457,18,9.3,01-01-2022,01-07-2023
SO220123,16248,929,HDFC,LDB1023,46488.4,3241.577175,15,8.5,02-01-2022,02-04-2023
SO220124,13980,872,Canara Bank,LDB1024,36887.2,2574.79063,15,8.7,02-01-2022,02-04-2023
SO220127,12446,965,Axis,LDB1027,80500,5619.039822,15,8.7,02-01-2022,02-04-2023
SO220132,12169,959,Axis,LDB1032,51100,2991.070657,18,10,02-01-2022,02-07-2023
SO220134,12260,931,HDFC,LDB1034,132650,9322.288906,15,10,02-01-2022,02-04-2023
SO220136,12561,892,ICICI,LDB1036,6353.9,277.3338298,24,9,02-01-2022,02-01-2024
SO220137,12967,911,Axis,LDB1037,51800,3008.601128,18,8.5,02-01-2022,02-07-2023
SO220138,12076,915,Canara Bank,LDB1038,50750,2965.981932,18,9.7,02-01-2022,02-07-2023
SO220139,15749,886,Axis,LDB1039,43183,2499.026501,18,7.8,02-01-2022,02-07-2023
SO220140,12197,890,Canara Bank,LDB1040,51184,2995.987485,18,10,02-01-2022,02-07-2023
SO220141,15218,849,Andhra Bank,LDB1041,30312.8,2105.938105,15,7.8,02-01-2022,02-04-2023
SO220142,13446,863,Axis,LDB1042,138600,6034.128509,24,8.5,02-01-2022,02-01-2024
SO220143,17483,919,ICICI,LDB1043,69300,4041.729638,18,9.3,02-01-2022,02-07-2023
SO220144,17461,936,Andhra Bank,LDB1044,133238,9363.611981,15,10,02-01-2022,02-04-2023
SO220147,14713,1013,Andhra Bank,LDB1047,77000,5402.891325,15,9.7,02-01-2022,02-04-2023
SO220148,15427,956,ICICI,LDB1048,81550,4748.797625,18,9,02-01-2022,02-07-2023
SO220150,16654,962,Andhra Bank,LDB1050,89250,6262.442217,15,9.7,03-01-2022,03-04-2023
SO220153,12650,935,HDFC,LDB1053,136738,5989.704714,24,9.7,03-01-2022,03-01-2024
SO220156,17789,958,HDFC,LDB1056,47950,3357.50768,15,9.3,03-01-2022,03-04-2023
SO220157,12956,912,Axis,LDB1057,58100,5107.913048,12,10,03-01-2022,03-01-2023
SO220159,11093,1003,Axis,LDB1059,64400,5652.80152,12,9.7,03-01-2022,03-01-2023
SO220161,14034,923,Axis,LDB1061,65660,5751.202532,12,9.3,03-01-2022,03-01-2023
SO220162,13929,937,Canara Bank,LDB1062,37800,2201.159414,18,9,03-01-2022,03-07-2023
SO220163,17535,910,Axis,LDB1063,75600,4418.290326,18,9.7,03-01-2022,03-07-2023
SO220164,15148,929,HDFC,LDB1064,46838.4,3286.529676,15,9.7,03-01-2022,03-04-2023
SO220166,12844,954,HDFC,LDB1066,54250,2380.022893,24,10,03-01-2022,03-01-2024
SO220167,11002,992,Axis,LDB1067,51450,4506.539298,12,9.3,03-01-2022,03-01-2023
