SalesID,CustID,VehicleID,Bank Name,LoanID,LoanAmount,EMIAmount,LoanTerm,InterestRate,LoanStartDate,LoanEndDate
SO240103,25364,995,HDFC,LDE3003,49700,2588.014924,20,7.8,01-01-2024,01-09-2025
SO240104,27189,859,ICICI,LDE3004,214200,12518.48926,18,9.7,01-01-2024,01-07-2025
SO240105,27675,891,Andhra Bank,LDE3005,39012.4,1708.908688,24,9.7,01-01-2024,01-01-2026
SO240106,26198,851,HDFC,LDE3006,34379.8,2399.769755,15,8.7,01-01-2024,01-04-2025
SO240107,29567,935,Canara Bank,LDE3007,136738,9594.552649,15,9.7,01-01-2024,01-04-2025
SO240108,30430,925,Canara Bank,LDE3008,49350,2581.751985,20,8.7,01-01-2024,01-09-2025
SO240110,27372,901,HDFC,LDE3010,81550,4773.42098,18,10,01-01-2024,01-07-2025
SO240111,28304,992,HDFC,LDE3011,51450,2695.778603,20,9,01-01-2024,01-09-2025
SO240112,29258,1014,HDFC,LDE3012,76300,5300.832566,15,7.8,01-01-2024,01-04-2025
SO240117,26575,843,Canara Bank,LDE3017,81074.7,5653.236012,15,8.5,01-01-2024,01-04-2025
SO240120,26040,970,ICICI,LDE3020,49000,4301.044635,12,9.7,01-01-2024,01-01-2025
SO240122,26430,847,ICICI,LDE3022,93800,6557.682452,15,9,01-01-2024,01-04-2025
SO240123,30676,1014,Axis,LDE3023,76650,4036.883549,20,10,01-01-2024,01-09-2025
SO240124,28040,879,ICICI,LDE3024,91166.6,4769.393121,20,8.7,01-01-2024,01-09-2025
SO240125,25068,891,HDFC,LDE3025,39012.4,2268.232684,18,8.7,01-01-2024,01-07-2025
SO240127,27173,924,Axis,LDE3027,50750,2672.822441,20,10,01-01-2024,01-09-2025
SO240128,28057,910,Andhra Bank,LDE3028,75250,3957.040478,20,9.7,02-01-2024,02-09-2025
SO240129,27786,869,Andhra Bank,LDE3029,47600,3345.201296,15,10,02-01-2024,02-04-2025
SO240130,29970,961,HDFC,LDE3030,80500,7039.84388,12,9,02-01-2024,02-01-2025
SO240131,29717,888,Andhra Bank,LDE3031,41398,1809.705816,24,9.3,02-01-2024,02-01-2026
SO240132,26287,904,Canara Bank,LDE3032,54236.7,2852.050728,20,9.7,02-01-2024,02-09-2025
SO240136,26608,955,Axis,LDE3036,56700,2471.035464,24,8.7,02-01-2024,02-01-2026
SO240137,25329,856,Canara Bank,LDE3037,137900,12040.38262,12,8.7,02-01-2024,02-01-2025
SO240138,27791,954,HDFC,LDE3038,53900,2819.785856,20,8.7,02-01-2024,02-09-2025
SO240139,29958,903,Axis,LDE3039,85400,3746.616683,24,10,02-01-2024,02-01-2026
SO240142,30191,893,Canara Bank,LDE3042,7403.9,432.7060813,18,9.7,02-01-2024,02-07-2025
SO240144,29406,922,HDFC,LDE3044,59878,2606.865417,24,8.5,02-01-2024,02-01-2026
SO240145,30685,950,ICICI,LDE3045,52500,3057.165853,18,9,02-01-2024,02-07-2025
SO240146,28148,951,Andhra Bank,LDE3046,53900,2824.149013,20,9,02-01-2024,02-09-2025
SO240148,26551,960,Axis,LDE3048,76650,4022.370399,20,9.3,02-01-2024,02-09-2025
SO240150,27900,924,HDFC,LDE3050,50750,3553.566523,15,9.3,02-01-2024,02-04-2025
SO240151,26832,935,ICICI,LDE3051,136738,9574.533581,15,9.3,02-01-2024,02-04-2025
SO240152,27739,944,Axis,LDE3052,38150,2009.225146,20,10,02-01-2024,02-09-2025
SO240154,25727,935,Axis,LDE3054,136388,7929.779233,18,8.7,02-01-2024,02-07-2025
SO240156,27103,937,Andhra Bank,LDE3056,37800,1649.887277,24,9,03-01-2024,03-01-2026
SO240157,30121,923,Canara Bank,LDE3057,64960,3759.274749,18,7.8,03-01-2024,03-07-2025
SO240161,27765,980,Axis,LDE3061,48650,2126.725638,24,9.3,03-01-2024,03-01-2026
SO240162,30797,886,Canara Bank,LDE3062,42833,3005.481092,15,9.7,03-01-2024,03-04-2025
SO240163,30062,996,HDFC,LDE3063,58100,3378.011067,18,8.7,03-01-2024,03-07-2025
SO240165,28044,932,Axis,LDE3065,127449,6636.617989,20,7.8,03-01-2024,03-09-2025
SO240166,28132,879,Canara Bank,LDE3066,91166.6,6363.587029,15,8.7,03-01-2024,03-04-2025
SO240167,27796,873,Andhra Bank,LDE3067,39096.4,2043.225236,20,8.5,03-01-2024,03-09-2025
SO240168,29935,945,HDFC,LDE3068,37100,1938.890953,20,8.5,03-01-2024,03-09-2025
SO240169,30310,957,Andhra Bank,LDE3069,86800,4536.273173,20,8.5,03-01-2024,03-09-2025
SO240170,29741,1002,Axis,LDE3070,62650,2744.335886,24,9.7,03-01-2024,03-01-2026
SO240172,25686,883,Andhra Bank,LDE3072,90598.2,6367.000337,15,10,03-01-2024,03-04-2025
SO240175,26576,935,Canara Bank,LDE3075,136388,7921.565457,18,8.5,03-01-2024,03-07-2025
SO240176,29337,938,Andhra Bank,LDE3076,44450,3907.861187,12,10,03-01-2024,03-01-2025
SO240180,26554,881,ICICI,LDE3080,111961.5,4886.874453,24,9,03-01-2024,03-01-2026
SO240183,26081,842,ICICI,LDE3083,64939,3402.549401,20,9,03-01-2024,03-09-2025
SO240184,27513,887,ICICI,LDE3084,43848,3834.572353,12,9,04-01-2024,04-01-2025
SO240185,25229,877,Axis,LDE3085,75250,6570.259551,12,8.7,04-01-2024,04-01-2025
